article,pageviews
1958_Lituya_Bay_earthquake_and_megatsunami,430817
1964_PRL_symmetry_breaking_papers,311
2011_OPERA_faster-than-light_neutrino_anomaly,129
2019_Midwestern_U.S._floods,927
2019_revision_of_the_SI,2965
3D_rotation_group,21372
ADM_formalism,158
ALPHA_experiment,666
AN/PVS-7,525
AP_Physics,996
AP_Physics_C:_Electricity_and_Magnetism,259
AP_Physics_C:_Mechanics,732
ASASSN-15lh,734
ATLAS_experiment,2019
AVR_reactor,295
A_Boy_and_His_Atom,2556
A_Brief_History_of_Time,73820
Aage_Bohr,6209
Abdul_Qadeer_Khan,16441
Abdus_Salam,12646
Aberdeen_Tunnel_Underground_Laboratory,183
Aberration_(astronomy),2550
Ablation,189296
Absement,4010
Absolute_magnitude,26810
Absolute_scale,178
Absolute_space_and_time,113
Absolute_zero,305829
Absorbed_dose,184
Absorption_(electromagnetic_radiation),597
Absorption_refrigerator,9637
Absorption_spectroscopy,1588
Abundance_of_the_chemical_elements,91826
Accelerating_expansion_of_the_universe,22118
Acceleration,62015
Accelerator_mass_spectrometry,831
Accelerometer,20321
Accordion_effect,1393
Accretion_(astrophysics),6208
Accretion_disk,50204
Acoustic_foam,108
Acoustic_levitation,218
Acoustic_metric,181
Acoustic_mirror,905
Acoustic_resonance,716
Acoustic_shadow,106
Acoustic_signature,1457
Acoustic_tweezers,134
Acoustic_wave,202
Acoustics,15791
Acousto-optic_modulator,118
Actinides_in_the_environment,1442
Action_(physics),12282
Action_at_a_distance,6297
Action_principles,13508
Active_galactic_nucleus,37101
AdS/CFT_correspondence,26376
Adam_Frank,6509
Adam_Riess,1035
Adaptive_optics,114
Added_mass,142
Additive_color,278
Additive_white_Gaussian_noise,190
Adiabatic_flame_temperature,368
Adiabatic_process,121635
Adinkra_symbols_(physics),1225
Adriana_Ocampo,169
Adrien-Marie_Legendre,5291
Advanced_Electric_Propulsion_System,612
Advection,4143
Adverse_yaw,518
Aeolian_sound,2212
Aeolipile,62546
Aerobraking,91
Aerodynamics,21169
Aeroelasticity,5248
Aerogel,175440
Aerographite,473
Aeronautics,7487
Aerosol,41024
Aether_(classical_element),326720
Aether_theories,6490
Afterglow,220
Age_of_Earth,89468
Age_of_the_universe,149250
Agitator_(device),275
Air_(classical_element),4477
Air_compressor,3167
Air_separation,115
Air_shower_(physics),193
Air_time_(rides),138
Aircraft_dynamic_modes,3505
Aircraft_flight_dynamics,14683
Aircraft_flight_mechanics,126
Airfoil,48710
Airglow,6382
Airy_disk,13265
Alain_Aspect,582
Alan_Guth,963
Alan_Hodgkin,404
Alan_Lightman,1427
Alan_Nunn_May,93
Alan_Sokal,1181
Albedo,135515
Albert_A._Michelson,12012
Albert_Allen_Bartlett,136
Albert_Baez,13560
Albert_Einstein,4460069
Albert_Einstein_Award,498
Albert_Einstein_in_popular_culture,740
